No,Weekday,Date,Period,NIC1,NIC2,COT1,COT2,HCOT1,HCOT2,PARA1,PARA2,ACE1,ACE2,,,,Univariate Approach
1,Saturday,9/1/2018,1,5.34,4.72,2.13,2.35,2.77,3.08,25.09,25.35,17.68,18.09,,,,Multivariate Approach (Cook's Distance)
2,Sunday,9/2/2018,1,7.22,5.45,1.79,1.32,2.49,1.71,19.66,8.50,15.55,9.61,,,,Both
3,Monday,9/3/2018,1,7.94,4.65,2.11,0.94,2.93,1.20,25.23,7.52,17.55,7.24,,,,
4,Tuesday,9/4/2018,1,5.15,3.11,2.11,1.14,3.01,1.58,23.61,11.89,17.48,9.43,,,,
5,Wednesday,9/5/2018,1,3.29,4.18,1.96,1.94,2.81,2.68,23.01,23.89,15.84,15.36,,,,
6,Thursday,9/6/2018,1,6.39,4.70,1.88,0.90,2.58,1.17,19.61,2.86,15.96,6.53,,,,
7,Friday,9/7/2018,1,6.13,3.20,2.11,0.87,2.93,1.25,26.19,10.15,17.96,6.79,,,,
8,Saturday,9/8/2018,1,3.76,1.95,1.91,1.25,2.62,1.82,20.86,14.51,16.44,10.66,,,,
9,Sunday,9/9/2018,1,6.44,5.27,2.02,1.90,2.78,2.32,13.98,22.57,16.83,14.26,,,,
10,Monday,9/10/2018,1,6.17,4.51,2.26,2.18,3.14,3.09,24.79,24.72,19.40,17.12,,,,
11,Tuesday,9/11/2018,1,6.39,4.85,1.97,1.96,2.62,2.56,11.15,24.17,15.90,14.74,,,,
12,Wednesday,9/12/2018,1,4.29,5.16,2.25,2.32,3.03,3.05,25.11,29.31,18.73,19.15,,,,
13,Thursday,9/13/2018,1,5.71,4.35,2.46,2.32,3.52,3.15,29.47,26.71,20.05,18.18,,,,
14,Friday,9/14/2018,1,5.01,5.06,2.42,2.35,3.28,3.16,28.19,30.01,19.22,17.54,,,,
15,Saturday,9/15/2018,1,4.84,3.83,2.12,2.44,2.85,3.00,26.43,24.40,16.14,17.12,,,,
16,Sunday,9/16/2018,1,4.96,5.20,1.96,2.37,2.46,3.29,29.24,24.33,15.45,18.82,,,,
17,Monday,9/17/2018,1,4.77,4.69,2.32,2.45,3.13,3.57,27.82,27.30,20.09,20.20,,,,
18,Tuesday,9/18/2018,1,4.11,3.13,1.83,1.63,2.38,2.29,14.68,13.55,16.13,13.41,,,,
19,Wednesday,9/19/2018,1,1.86,0.97,1.34,0.73,1.89,1.17,3.95,0.23,12.33,6.38,,,,
20,Thursday,9/20/2018,1,4.73,2.93,2.25,1.59,2.88,2.25,25.61,19.74,19.17,13.03,,,,
21,Friday,9/21/2018,1,4.98,3.66,2.54,1.96,3.30,2.74,29.95,21.79,20.25,15.49,,,,
22,Saturday,9/22/2018,1,5.87,4.32,2.28,2.16,3.16,3.07,28.59,25.18,18.56,16.76,,,,
